1101,台泥,上市
1102,亞泥,上市
1103,嘉泥,上市
1104,環泥,上市
1108,幸福,上市
1109,信大,上市
1110,東泥,上市
1201,味全,上市
1203,味王,上市
1210,大成,上市
1213,大飲,上市
1215,卜蜂,上市
1216,統一,上市
1217,愛之味,上市
1218,泰山,上市
1219,福壽,上市
1220,台榮,上市
1225,福懋油,上市
1227,佳格,上市
1229,聯華,上市
1231,聯華食,上市
1232,大統益,上市
1233,天仁,上市
1234,黑松,上市
1235,興泰,上市
1236,宏亞,上市
1256,鮮活果汁-KY,上市
1301,台塑,上市
1303,南亞,上市
1304,台聚,上市
1305,華夏,上市
1307,三芳,上市
1308,亞聚,上市
1309,台達化,上市
1310,台苯,上市
1312,國喬,上市
1313,聯成,上市
1314,中石化,上市
1315,達新,上市
1316,上曜,上市
1319,東陽,上市
1321,大洋,上市
1323,永裕,上市
1324,地球,上市
1325,恆大,上市
1326,台化,上市
1337,再生-KY,上市
1338,廣華-KY,上市
1339,昭輝,上市
1340,勝悅-KY,上市
1341,富林-KY,上市
1342,八貫,上市
1402,遠東新,上市
1409,新纖,上市
1410,南染,上市
1413,宏洲,上市
1414,東和,上市
1416,廣豐,上市
1417,嘉裕,上市
1418,東華,上市
1419,新紡,上市
1423,利華,上市
1432,大魯閣,上市
1434,福懋,上市
1435,中福,上市
1436,華友聯,上市
1437,勤益控,上市
1438,三地開發,上市
1439,雋揚,上市
1440,南紡,上市
1441,大東,上市
1442,名軒,上市
1443,立益物流,上市
1444,力麗,上市
1445,大宇,上市
1446,宏和,上市
1447,力鵬,上市
1449,佳和,上市
1451,年興,上市
1452,宏益,上市
1453,大將,上市
1454,台富,上市
1455,集盛,上市
1456,怡華,上市
1457,宜進,上市
1459,聯發,上市
1460,宏遠,上市
1463,強盛新,上市
1464,得力,上市
1465,偉全,上市
1466,聚隆,上市
1467,南緯,上市
1468,昶和,上市
1470,大統新創,上市
1471,首利,上市
1472,三洋實業,上市
1473,台南,上市
1474,弘裕,上市
1475,業旺,上市
1476,儒鴻,上市
1477,聚陽,上市
1503,士電,上市
1504,東元,上市
1506,正道,上市
1512,瑞利,上市
1513,中興電,上市
1514,亞力,上市
1515,力山,上市
1516,川飛,上市
1517,利奇,上市
1519,華城,上市
1521,大億,上市
1522,堤維西,上市
1524,耿鼎,上市
1525,江申,上市
1526,日馳,上市
1527,鑽全,上市
1528,恩德,上市
1529,樂事綠能,上市
1530,亞崴,上市
1531,高林股,上市
1532,勤美,上市
1533,車王電,上市
1535,中宇,上市
1536,和大,上市
1537,廣隆,上市
1538,正峰,上市
1539,巨庭,上市
1540,喬福,上市
1541,錩泰,上市
1558,伸興,上市
1560,中砂,上市
1563,巧新,上市
1568,倉佑,上市
1582,信錦,上市
1583,程泰,上市
1587,吉茂,上市
1589,永冠-KY,上市
1590,亞德客-KY,上市
1597,直得,上市
1598,岱宇,上市
1603,華電,上市
1604,聲寶,上市
1605,華新,上市
1608,華榮,上市
1609,大亞,上市
1611,中電,上市
1612,宏泰,上市
1614,三洋電,上市
1615,大山,上市
1616,億泰,上市
1617,榮星,上市
1618,合機,上市
1626,艾美特-KY,上市
1702,南僑,上市
1707,葡萄王,上市
1708,東鹼,上市
1709,和益,上市
1710,東聯,上市
1711,永光,上市
1712,興農,上市
1713,國化,上市
1714,和桐,上市
1717,長興,上市
1718,中纖,上市
1720,生達,上市
1721,三晃,上市
1722,台肥,上市
1723,中碳,上市
1725,元禎,上市
1726,永記,上市
1727,中華化,上市
1730,花仙子,上市
1731,美吾華,上市
1732,毛寶,上市
1733,五鼎,上市
1734,杏輝,上市
1735,日勝化,上市
1736,喬山,上市
1737,臺鹽,上市
1752,南光,上市
1760,寶齡富錦,上市
1762,中化生,上市
1773,勝一,上市
1776,展宇,上市
1783,和康生,上市
1786,科妍,上市
1789,神隆,上市
1795,美時,上市
1802,台玻,上市
